0000, 3590
0d64, d579
0d65, fd47
0d66, 0ad0
0d67, e9e8
0d68, 5455
0d69, ec47
0d6a, df69
0d6b, eefb
0d6c, bb97
0d6d, 39cf
0d6e, 5248
0d6f, 237f
0d70, cd6e
0d71, abd6
0d72, a6b6
0d73, aebe
0d74, b228
0d75, 4de6
0d76, bb5e
0d77, 4529
0d78, a5d8
0d79, b3b6
0d7a, c0d8
0d7b, c539
0d7c, ce06
0d7d, 460e
0d7e, 4b39
0d7f, b3be
0d80, 24aa
0d81, 48f1
0d82, 4c41
0d83, ff7c
0d84, 2887
0d85, 4147
0d86, bf1a
0d87, 4a1a
0d88, fac1
0d89, ba77
0d8a, 29a7
0d8b, 2c9a
0d8c, 2897
0d8d, 4aca
0d8e, 41fa
0d8f, 2c8a
0d90, d8af
0d91, 6ab6
0d92, 3914
0d93, 3f1a
0d94, da29
0d95, 5887
0d96, 6c09
0d97, ec28
0d98, 31be
0d99, e917
0d9a, d139
0d9b, 8408
0d9c, 88f1
0d9d, 67a3
0d9e, 5458
0d9f, e91f
0da0, 82aa
0da1, 3cb1
0da2, 6581
0da3, 0e73
0da4, 8ae3
0da5, 5d41
0da6, 6c03
0da7, e7b2
0da8, 08ef
0da9, e371
0daa, 8163
0dab, e867
0dac, de91
0dad, 65a3
0dae, 5fe2
0daf, 808a
0db0, bf6f
0db1, 0352
0db2, 677d
0db3, afec
0db4, d32c
0db5, 384d
0db6, 9335
0db7, 235b
0db8, fd20
0db9, b7e7
0dba, 7ed0
0dbb, edd7
0dbc, 1f9d
0dbd, a76c
0dbe, 5e52
0dbf, 8975
0dc0, ef6e
0dc1, 32cb
0dc2, 531b
0dc3, 5150
0dc4, ee7b
0dc5, 5b46
0dc6, 8fb5
0dc7, 5ce0
0dc8, 370d
0dc9, e7e6
0dca, ea6b
0dcb, 8090
0dcc, edfd
0dcd, 5ad5
0dce, 5d90
0dcf, e57e
0dd0, 846a
0dd1, 6f31
0dd2, 6ae1
0dd3, 0fbf
0dd4, 8851
0dd5, 58e7
0dd6, 1f23
0dd7, 5aba
0dd8, 0a64
0dd9, e9b7
0dda, 89d1
0ddb, da0a
0ddc, df07
0ddd, 6a63
0dde, 510a
0ddf, 8cea
0de0, e13c
0de1, af9d
0de2, 9a8d
0de3, 6fea
0de4, b84d
0de5, 4846
0de6, 1fec
0de7, 3c5c
0de8, 6a37
0de9, 87e1
0dea, 8707
0deb, caf0
0dec, cf96
0ded, 0a3c
0dee, 41f0
0def, 2c80
0df0, 2d90
0df1, f352
0df2, 47ed
0df3, 4d80
0df4, 25e3
0df5, f856
0df6, faff
0df7, b982
0df8, 4f43
0df9, 2086
0dfa, 2f93
0dfb, b204
0dfc, b13d
0dfd, 4090
0dfe, 4252
0dff, 2ce0
0e00, dddf
0e01, 3b34
0e02, 36e4
0e03, 0e2f
0e04, 1b24
0e05, 3eb1
0e06, 8bef
0e07, 35bc
0e08, 6562
0e09, e327
0e0a, 1062
0e0b, 15d3
0e0c, 1e64
0e0d, 563f
0e0e, 32da
0e0f, 16b3
0e10, 226a
0e11, 42d1
0e12, 43b1
0e13, 42ba
0e14, 2227
0e15, 4eb7
0e16, b2bc
0e17, f52a
0e18, 43d7
0e19, b527
0e1a, 2367
0e1b, 236a
0e1c, 2267
0e1d, f3dc
0e1e, 4eda
0e1f, 232a
0e20, e31e
0e21, 686b
0e22, 0c2b
0e23, 8d96
0e24, d1bb
0e25, 5fb6
0e26, 32a8
0e27, 5bf0
0e28, 80f9
0e29, 5d86
0e2a, e21b
0e2b, 8960
0e2c, e4dd
0e2d, 3378
0e2e, 5460
0e2f, d7be
0e30, 2750
0e31, fc12
0e32, 457d
0e33, 2106
0e34, 2773
0e35, f216
0e36, 43e4
0e37, 4ee2
0e38, 2202
0e39, 4156
0e3a, 2353
0e3b, b8c4
0e3c, bead
0e3d, 4756
0e3e, 4812
0e3f, 2370
0e40, 891e
0e41, f35d
0e42, 47e2
0e43, 1ff6
0e44, 7650
0e45, 4fb7
0e46, 63e4
0e47, 3ee4
0e48, 8d61
0e49, 3886
0e4a, 13ba
0e4b, 7d3b
0e4c, cf62
0e4d, 6716
0e4e, fd2b
0e4f, c7bf
0e50, 8260
0e51, ac48
0e52, 6528
0e53, 6e25
0e54, bc7e
0e55, 5eb6
0e56, 9cf5
0e57, b778
0e58, a84e
0e59, 832d
0e5a, 21a5
0e5b, 789b
0e5c, de68
0e5d, 6565
0e5e, f87b
0e5f, 8529
0e60, 7dcf
0e61, 6646
0e62, a014
0e63, 427c
0e64, d689
0e65, f217
0e66, 06f0
0e67, e078
0e68, 5d15
0e69, 2377
0e6a, db99
0e6b, 8dc8
0e6c, b2a1
0e6d, a0cf
0e6e, 5d18
0e6f, 701f
0e70, 83b3
0e71, 4b0b
0e72, f65b
0e73, 1e01
0e74, cbbb
0e75, fe2d
0e76, 6bd1
0e77, 3b3a
0e78, 153a
0e79, 3de1
0e7a, 8224
0e7b, c565
0e7c, 7edb
0e7d, 66b1
0e7e, 4260
0e7f, 7625
0e80, 265a
0e81, 4fc7
0e82, fa17
0e83, 2b07
0e84, 2477
0e85, 4f17
0e86, 4b31
0e87, 4d3a
0e88, 260a
0e89, 4de7
0e8a, 2b57
0e8b, baac
0e8c, bfc1
0e8d, 46e1
0e8e, ffaa
0e8f, 297a
0e90, 251f
0e91, 0c5d
0e92, 6772
0e93, bbf1
0e94, d7e9
0e95, 5477
0e96, 6376
0e97, 5e88
0e98, 8e98
0e99, fb87
0e9a, d319
0e9b, e1db
0e9c, 8fc7
0e9d, 4514
0e9e, 58b8
0e9f, dc7f
0ea0, 8059
0ea1, 0c52
0ea2, 6572
0ea3, de06
0ea4, ec2f
0ea5, 3e17
0ea6, 4c76
0ea7, ff4b
0ea8, 28cd
0ea9, 5de6
0eaa, ba4e
0eab, 1804
0eac, 1ea2
0ead, 6556
0eae, 38b4
0eaf, 857c
0eb0, 18c5
0eb1, 33e1
0eb2, 3788
0eb3, 6f75
0eb4, 16ea
0eb5, 3f16
0eb6, 533c
0eb7, e622
0eb8, 0d5f
0eb9, 897d
0eba, dd3c
0ebb, 1d04
0ebc, 1fa8
0ebd, 3795
0ebe, 3db4
0ebf, 171e
0ec0, dbce
0ec1, 6ba8
0ec2, 6678
0ec3, 5e10
0ec4, db1b
0ec5, 5e16
0ec6, 1b75
0ec7, 5370
0ec8, 35cd
0ec9, e576
0eca, d6cb
0ecb, 85a9
0ecc, 8ec6
0ecd, 06a5
0ece, 52a0
0ecf, d61e
0ed0, bc49
0ed1, 6f62
0ed2, 0a22
0ed3, 7f9d
0ed4, 8fb7
0ed5, 3fb1
0ed6, aff6
0ed7, f199
0ed8, 7a99
0ed9, f84d
0eda, b886
0edb, 1adf
0edc, 1f64
0edd, aa46
0ede, 34dc
0edf, ea2c
0ee0, 24a0
0ee1, afa8
0ee2, aa78
0ee3, af7e
0ee4, bf16
0ee5, ff7d
0ee6, cf75
0ee7, 4a10
0ee8, aaab
0ee9, b976
0eea, b9cd
0eeb, 7ace
0eec, 7fcb
0eed, 9aa5
0eee, f4c9
0eef, ba79
0ef0, 2460
0ef1, 46b4
0ef2, 4926
0ef3, 4420
0ef4, 2623
0ef5, 4426
0ef6, f6df
0ef7, b022
0ef8, 4bb3
0ef9, 2926
0efa, 2b63
0efb, 2b62
0efc, 2466
0efd, 4960
0efe, 4db2
0eff, 2920
0f00, 68b9
0f01, 0bda
0f02, 6b27
0f03, d86a
0f04, 16a0
0f05, 9627
0f06, 9029
0f07, c87c
0f08, dc67
0f09, 9cac
0f0a, 6cdd
0f0b, 717d
0f0c, 7779
0f0d, c02d
0f0e, ab67
0f0f, 1bc6
0f10, 39df
0f11, 9bd1
0f12, a027
0f13, 6930
0f14, ffa8
0f15, 3057
0f16, 781a
0f17, 2b59
0f18, df59
0f19, 4030
0f1a, ef23
0f1b, 02f6
0f1c, 658d
0f1d, a7ac
0f1e, 5b31
0f1f, 491b
0f20, adb5
0f21, 1cd9
0f22, 116d
0f23, fcf3
0f24, b3de
0f25, 5a24
0f26, 3c38
0f27, d82f
0f28, 288f
0f29, 0cd3
0f2a, a6d8
0f2b, 98a7
0f2c, 9c11
0f2d, 31e5
0f2e, 5fd2
0f2f, be6b
0f30, 66a3
0f31, aa42
0f32, a616
0f33, 6aa3
0f34, 6ab7
0f35, 4c51
0f36, 4a9c
0f37, 4665
0f38, 6c05
0f39, 4ada
0f3a, 6c0c
0f3b, 3cbd
0f3c, 6a81
0f3d, 46fe
0f3e, 43eb
0f3f, 3314
0f40, 5143
0f41, aeeb
0f42, a121
0f43, ebff
0f44, df0b
0f45, a016
0f46, b3ed
0f47, 4a9a
0f48, e43a
0f49, 40fe
0f4a, 5fe0
0f4b, da53
0f4c, d01c
0f4d, bc54
0f4e, aa44
0f4f, d1c1
0f50, a6a0
0f51, c985
0f52, d029
0f53, 7f3a
0f54, a5e4
0f55, a387
0f56, 1f3f
0f57, 3769
0f58, bbd0
0f59, 6afc
0f5a, a993
0f5b, 802c
0f5c, d989
0f5d, dbaa
0f5e, 3076
0f5f, ac2d
0f60, ff23
0f61, 12fb
0f62, 7ba1
0f63, 96c0
0f64, 12d7
0f65, 53bb
0f66, 6f55
0f67, 096a
0f68, 9993
0f69, 53cf
0f6a, a220
0f6b, 95e4
0f6c, 9cbd
0f6d, 081a
0f6e, 9976
0f6f, efa8
0f70, 58e5
0f71, add9
0f72, adbd
0f73, e133
0f74, dc69
0f75, ac71
0f76, 465e
0f77, b883
0f78, e732
0f79, 4c93
0f7a, 5c08
0f7b, d827
0f7c, dc2a
0f7d, b6eb
0f7e, a8a1
0f7f, d86d
0f80, 6c6f
0f81, a1a1
0f82, ac77
0f83, 6a65
0f84, 34d4
0f85, 46ed
0f86, b183
0f87, be29
0f88, 142e
0f89, 4360
0f8a, 1123
0f8b, 6436
0f8c, 6aed
0f8d, 4c9f
0f8e, 4d36
0f8f, 3ab2
0f90, a123
0f91, 140b
0f92, 11a1
0f93, f0f5
0f94, ce6d
0f95, 5512
0f96, 34e0
0f97, 0c3a
0f98, fafa
0f99, 00af
0f9a, ade0
0f9b, 9a84
0f9c, 901d
0f9d, 3183
0f9e, 0a21
0f9f, b4d4
0fa0, f69e
0fa1, 1aef
0fa2, 161a
0fa3, c4d3
0fa4, 9942
0fa5, 0a41
0fa6, 840c
0fa7, 0705
0fa8, cd05
0fa9, 0ac3
0faa, f99c
0fab, b6b0
0fac, ca5a
0fad, 8df3
0fae, 57bd
0faf, 9676
0fb0, 611c
0fb1, 6252
0fb2, 0816
0fb3, ddcc
0fb4, 1298
0fb5, a7bd
0fb6, c55b
0fb7, 9aff
0fb8, df03
0fb9, a0c0
0fba, 6fee
0fbb, 794e
0fbc, d6b0
0fbd, 7721
0fbe, 9352
0fbf, cda7
0fc0, 4225
0fc1, d0a9
0fc2, 1bad
0fc3, 97ca
0fc4, e5d3
0fc5, f978
0fc6, 07d6
0fc7, e4bf
0fc8, 717c
0fc9, 5963
0fca, f5d8
0fcb, 9d67
0fcc, 90b1
0fcd, 6820
0fce, f4cb
0fcf, 82d2
0fd0, f79f
0fd1, 1121
0fd2, 1cbc
0fd3, ce65
0fd4, 91c1
0fd5, 09ed
0fd6, 8c34
0fd7, d4be
0fd8, c3d8
0fd9, 0965
0fda, 2143
0fdb, ce56
0fdc, c3e0
0fdd, 810f
0fde, 0406
0fdf, 9777
0fe0, a7ca
0fe1, 7816
0fe2, c710
0fe3, c230
0fe4, add7
0fe5, 6546
0fe6, d7d1
0fe7, 1450
0fe8, 7536
0fe9, 6909
0fea, c11c
0feb, d251
0fec, 155c
0fed, 18dc
0fee, 6efd
0fef, a0b1
0ff0, 55a3
0ff1, a552
0ff2, 9726
0ff3, 09fa
0ff4, a91d
0ff5, 5786
0ff6, a9ff
0ff7, 4535
0ff8, 37d0
0ff9, f73a
0ffa, 69dc
0ffb, 301d
0ffc, 9581
0ffd, 90a9
0ffe, 3552
0fff, 5528
1000, 9ee3
1001, 02f3
1002, 0f54
1003, 1e33
1004, c3f5
1005, 6a5b
1006, 635e
1007, 7e43
1008, 1af8
1009, 039e
100a, 9a08
100b, 7f54
100c, 755e
100d, ca88
100e, 64f2
100f, c4f2
1010, 022c
1011, da9f
1012, d40b
1013, 50a0
1014, 7a6c
1015, f3eb
1016, 95f2
1017, ef85
1018, 2b1c
1019, 553f
101a, 09ad
101b, 51c7
101c, 5cbd
101d, 0285
101e, f402
101f, 7e6d
1020, 085a
1021, 9938
1022, 9253
1023, 5939
1024, 05d6
1025, 05da
1026, f5f6
1027, 785a
1028, ef8a
1029, 9039
102a, 00f1
102b, 7283
102c, 05fe
102d, ff8a
102e, df19
102f, 9f19
1030, 98ea
1031, 90c1
1032, 9243
1033, 0793
1034, 59c8
1035, 599e
1036, 5794
1037, 2fba
1038, df73
1039, f763
103a, 9764
103b, 724a
103c, f0ca
103d, 5f4a
103e, e849
103f, 0f79
1040, 4249
1041, 6020
1042, 155b
1043, bf3c
1044, a766
1045, a593
1046, 308f
1047, 8843
1048, b732
1049, 399a
104a, 4098
104b, 17ad
104c, 1ff5
104d, 8587
104e, cb7a
104f, afee
1050, ae43
1051, 986a
1052, 9fe4
1053, e1a9
1054, dcac
1055, 5c17
1056, 0c19
1057, ce4a
1058, daf6
1059, 46ca
105a, a6c1
105b, 7fe1
105c, 27ba
105d, da88
105e, 04f7
105f, d4f2
1060, 6eb0
1061, c0a0
1062, c2fb
1063, a39f
1064, 85af
1065, a927
1066, ac6d
1067, 8475
1068, cd7c
1069, 6ac0
106a, 336b
106b, 68a7
106c, 6982
106d, a4e5
106e, 4fd2
106f, 12a7
1070, 448c
1071, 055e
1072, 7988
1073, 2239
1074, aa3b
1075, 63f5
1076, 558a
1077, 848c
1078, 2931
1079, 3a30
107a, 43fd
107b, d9f8
107c, d233
107d, e951
107e, ce8f
107f, ae5f
1080, 9de0
1081, 9392
1082, 0e45
1083, 0c05
1084, 0acd
1085, 530f
1086, 5a97
1087, 21bf
1088, d14f
1089, f665
108a, 9c07
108b, 2d7c
108c, 56c0
108d, 54e0
108e, e445
108f, 0ebc
1090, 6b8c
1091, a7dd
1092, af55
1093, 39fc
1094, 35db
1095, 69a0
1096, 40fb
1097, c82f
1098, 888f
1099, a73c
109a, 60a2
109b, cb1c
109c, a5ff
109d, 4280
109e, 8f15
109f, 6220
10a0, 548c
10a1, 0779
10a2, d948
10a3, 7803
10a4, 96a7
10a5, f6ac
10a6, f7e3
10a7, d41f
10a8, 7964
10a9, 0cff
10aa, 5cf2
10ab, d996
10ac, e8c9
10ad, 29e1
10ae, 7e8c
10af, 9e8f
10b0, 9fe5
10b1, 6bac
10b2, 6282
10b3, 1495
10b4, c0c9
10b5, 6944
10b6, 66b0
10b7, 7b7c
10b8, 1ccd
10b9, 959f
10ba, 976d
10bb, c827
10bc, c95f
10bd, 13eb
10be, 68c1
10bf, c298
10c0, a419
10c1, 75fe
10c2, 7ff4
10c3, 63fe
10c4, d5aa
10c5, 9526
10c6, aa38
10c7, 1419
10c8, ce83
10c9, 63da
10ca, 63d6
10cb, 0ff4
10cc, 0958
10cd, ae53
10ce, 9fd1
10cf, dfd1
10d0, 3fe0
10d1, 0a45
10d2, d3e2
10d3, 7d05
10d4, a592
10d5, 30c0
10d6, faec
10d7, 184f
10d8, 7c02
10d9, 6705
10da, 3997
10db, eccd
10dc, ed6c
10dd, 23ed
10de, bb7c
10df, 6245
10e0, 628e
10e1, 940f
10e2, 9eeb
10e3, ebdc
10e4, 199f
10e5, 37bd
10e6, 0985
10e7, bb1a
10e8, e7ad
10e9, 30a9
10ea, a5f4
10eb, 21b7
10ec, 26b0
10ed, d552
10ee, 38c7
10ef, 1f0b
10f0, 0419
10f1, d7ca
10f2, df94
10f3, f6aa
10f4, 2963
10f5, f9e4
10f6, 96a1
10f7, e189
10f8, 7e8a
10f9, 5afe
10fa, 5aa8
10fb, 0f91
10fc, 5771
10fd, 9e83
10fe, f801
10ff, 7f61
1100, aeea
1101, 040c
1102, 0fe1
1103, c490
1104, c99c
1105, a941
1106, 9980
1107, 7eea
1108, caf6
1109, 950c
110a, a531
110b, df51
110c, 195c
110d, 7a86
110e, a4f7
110f, 74f7
1110, 3dec
1111, d939
1112, 1f3d
1113, 9d2a
1114, 2039
1115, ef64
1116, 63f6
1117, f9ab
1118, 90d7
1119, f41e
111a, 3631
111b, 7ccc
111c, 78c1
111d, 6e40
111e, ea6f
111f, bb3d
1120, 5fba
1121, 9307
1122, 92ea
1123, a9af
1124, fc9d
1125, 47f0
1126, 9ac2
1127, ef2a
1128, 7f13
1129, 39dc
112a, 5a67
112b, 725a
112c, a53c
112d, 9f73
112e, 2889
112f, f849
1130, ff2a
1131, 3b10
1132, 928a
1133, fd45
1134, 325f
1135, 5eb5
1136, 6855
1137, 08ea
1138, ff4a
1139, 0d7f
113a, 4b25
113b, 92e3
113c, 91b0
113d, 0f13
113e, 9f79
113f, 5889
1140, a275
1141, 2776
1142, d3ed
1143, d2a3
1144, fd2c
1145, aa30
1146, d7e4
1147, a793
1148, 183f
1149, a3a5
114a, 918f
114b, b8a0
114c, d239
114d, d372
114e, 406a
114f, afe0
1150, 9e4a
1151, 4b2d
1152, 9f51
1153, d02d
1154, 8866
1155, cbcd
1156, 86b7
1157, aee3
1158, 7a88
1159, a829
115a, 5b70
115b, 0fe4
115c, 0d77
115d, 1a86
115e, 74f2
115f, 14f7
1160, 5b50
1161, 28c1
1162, 7e9d
1163, aa39
1164, ef04
1165, 5081
1166, fd2a
1167, 4a95
1168, 466c
1169, 3639
116a, f48e
116b, 4717
116c, 9586
116d, 9f50
116e, 3952
116f, ed97
1170, 941f
1171, 9a40
1172, 7946
1173, 1fdf
1174, a507
1175, a50a
1176, 0abf
1177, c41f
1178, d9d4
1179, a9c3
117a, a9c2
117b, 79f6
117c, cff0
117d, d9b4
117e, ce5c
117f, 9e5c
1180, 4220
1181, 05f6
1182, 6280
1183, f843
1184, 5031
1185, ff7e
1186, 09d8
1187, 0c62
1188, fc92
1189, 08b3
118a, f5d6
118b, 9667
118c, 9bba
118d, 6f25
118e, facb
118f, 3b5c
1190, 5e7c
1191, fbba
1192, 94e0
1193, 95ae
1194, ff4e
1195, 5039
1196, 9843
1197, 37df
1198, a7ff
1199, 55aa
119a, 58b3
119b, 40dc
119c, 9939
119d, 9e75
119e, 49f5
119f, 5de0
11a0, 641f
11a1, 8027
11a2, d986
11a3, e642
11a4, 3b79
11a5, a8b0
11a6, c05b
11a7, f48c
11a8, e9e1
11a9, 4b45
11aa, 68ee
11ab, 7948
11ac, d6bd
11ad, 7924
11ae, 9e5f
11af, ae8c
11b0, af59
11b1, 58b1
11b2, 0e47
11b3, 1e39
11b4, 21a7
11b5, a38d
11b6, 2c16
11b7, f06c
11b8, b1c0
11b9, 9a09
11ba, 4dba
11bb, 872c
11bc, d58a
11bd, d55d
11be, 4771
11bf, c29d
11c0, f189
11c1, 7a9c
11c2, 7f91
11c3, a30c
11c4, ec0c
11c5, 3757
11c6, 9537
11c7, b189
11c8, ce5a
11c9, 4c90
11ca, f7fd
11cb, 9ff1
11cc, a987
11cd, 9e5a
11ce, 5831
11cf, e801
11d0, 6fbe
11d1, 055a
11d2, 1557
11d3, e7e4
11d4, 63fd
11d5, 9d2c
11d6, 952e
11d7, 4792
11d8, 5cef
11d9, f18f
11da, 6adb
11db, 9c70
11dc, 7776
11dd, c52b
11de, a067
11df, 6249
11e0, 0240
11e1, 9239
11e2, a25d
11e3, 7c16
11e4, 1a30
11e5, 71a7
11e6, 635a
11e7, a0d1
11e8, 9710
11e9, adba
11ea, 0396
11eb, 016c
11ec, 08b1
11ed, 13e7
11ee, c7cc
11ef, 1f06
11f0, 3189
11f1, 88dd
11f2, dff1
11f3, 9820
11f4, b23b
11f5, eec2
11f6, 3d70
11f7, 9419
11f8, 9e53
11f9, 5225
11fa, 3eef
11fb, 7f94
11fc, 7dcd
11fd, ae8a
11fe, df61
11ff, 2831
1200, 2892
1201, 6c2a
1202, 1cb7
1203, b6e5
1204, 9cc1
1205, 0760
1206, 3133
1207, 5108
1208, bd58
1209, 57eb
120a, 2c93
120b, c6d6
120c, cd60
120d, 31e2
120e, d1b9
120f, 987c
1210, 7dd8
1211, 07dd
1212, 0129
1213, 0a28
1214, f5db
1215, f639
1216, e735
1217, f2dd
1218, 0fdb
1219, f326
121a, 70d5
121b, df50
121c, 0a39
121d, e138
121e, 2b50
121f, fe2e
1220, c8ab
1221, 4634
1222, 4def
1223, 308b
1224, aca8
1225, 666f
1226, 2033
1227, 0bd4
1228, 5bf8
1229, 6022
122a, 77ae
122b, 8d8e
122c, 3695
122d, bb32
122e, 1d23
122f, a175
1230, d1cb
1231, 5e89
1232, fb8f
1233, 9372
1234, 0d5a
1235, 59a0
1236, e296
1237, 50b4
1238, 0048
1239, 5a7d
123a, db01
123b, 06fe
123c, 95af
123d, 2d92
123e, 56d3
123f, 0815
1240, b13b
1241, ba4d
1242, 8658
1243, e78e
1244, f2ec
1245, f693
1246, 4f8d
1247, 3546
1248, 855c
1249, 4682
124a, b201
124b, 8e0c
124c, 81fe
124d, 5b58
124e, 5590
124f, f1ee
1250, 88f4
1251, 7358
1252, 7727
1253, 792f
1254, 64ee
1255, 69fa
1256, fe56
1257, 6ce8
1258, 765e
1259, 6914
125a, 8406
125b, 2dd9
125c, 7f3c
125d, f852
125e, 3c69
125f, 681a
1260, 1da4
1261, a44f
1262, ad19
1263, 3c84
1264, 64bc
1265, 4ad3
1266, b497
1267, a6ed
1268, 3aed
1269, ac24
126a, 1107
126b, 6a05
126c, 6caa
126d, bdf8
126e, a360
126f, 3e13
1270, bb04
1271, 4c8e
1272, bc4b
1273, 805f
1274, f604
1275, 5095
1276, f8fe
1277, 3dfb
1278, eb54
1279, 3048
127a, b63f
127b, 8634
127c, 8d0f
127d, 488b
127e, ed4e
127f, fbef
1280, db64
1281, 50fb
1282, 5d8e
1283, 0578
1284, 00d2
1285, 53da
1286, e695
1287, 5e67
1288, 0ecb
1289, 55b1
128a, d66f
128b, d215
128c, 03ae
128d, eb98
128e, e22c
128f, 0d23
1290, dbd8
1291, 4eec
1292, 415e
1293, f084
1294, a140
1295, 6cae
1296, b237
1297, 6057
1298, 358d
1299, 0718
129a, c8fd
129b, 3390
129c, 46f3
129d, 2838
129e, 660c
129f, 6d2e
12a0, bb92
12a1, e351
12a2, e78b
12a3, da75
12a4, 3e49
12a5, a5a3
12a6, 52e1
12a7, 068b
12a8, d0e3
12a9, a572
12aa, eefd
12ab, dd33
12ac, dfa5
12ad, 514b
12ae, 669e
12af, 4b83
12b0, 2d98
12b1, 1ae2
12b2, 1611
12b3, bc53
12b4, 9f4f
12b5, 0cca
12b6, 34e7
12b7, 59ed
12b8, b3e0
12b9, 5c44
12ba, 2f97
12bb, ce05
12bc, c1da
12bd, 3d84
12be, 0905
12bf, 9d79
12c0, 1162
12c1, aca1
12c2, a17c
12c3, 3ceb
12c4, 3ad4
12c5, 4365
12c6, bcf3
12c7, add8
12c8, 3138
12c9, a6bb
12ca, 1cd3
12cb, 1129
12cc, 6c60
12cd, b192
12ce, be2e
12cf, 34bf
12d0, edfb
12d1, 505f
12d2, e654
12d3, d5b3
12d4, 30f8
12d5, 63ce
12d6, 5d0f
12d7, 62cb
12d8, deb2
12d9, 031b
12da, 8095
12db, d5d2
12dc, ded3
12dd, 5be4
12de, 121e
12df, 3d4e
12e0, 8108
12e1, 9020
12e2, 7626
12e3, 732e
12e4, 67d6
12e5, 6a09
12e6, fb35
12e7, 6fd8
12e8, 722b
12e9, 6ab8
12ea, 873e
12eb, 753d
12ec, 7e39
12ed, fd58
12ee, 1f59
12ef, 61b9
12f0, 78d2
12f1, 045e
12f2, 081c
12f3, 0912
12f4, 9e29
12f5, f73c
12f6, e436
12f7, f628
12f8, 0c58
12f9, f927
12fa, 7d36
12fb, 5cd9
12fc, 09fc
12fd, e8f2
12fe, f33e
12ff, ff2f
1300, 34b1
1301, 6931
1302, 64ea
1303, 09b2
1304, 375a
1305, e80c
1306, 19d3
1307, e4b1
1308, 0464
1309, e9bc
130a, 3fda
130b, d4ea
130c, 090c
130d, 1464
130e, ec01
130f, 8ce1
1310, 34bd
1311, 5c06
1312, 58e0
1313, c1c4
1314, 3c59
1315, 2a14
1316, ea69
1317, 98af
1318, c7a3
1319, 9114
131a, 34d9
131b, 49a4
131c, 4473
131d, ef6d
131e, f91f
131f, 8ced
1320, f2b1
1321, 45d1
1322, 4eba
1323, 45b1
1324, f52c
1325, be6c
1326, b56c
1327, 2221
1328, 4ed7
1329, b52c
132a, fe6c
132b, 2eba
132c, f56c
132d, 2ed7
132e, b3d1
132f, 2321
1330, f211
1331, 5b75
1332, fe7a
1333, c86b
1334, 867b
1335, 772b
1336, 8bc8
1337, 9be1
1338, 7d37
1339, 91bb
133a, 3b1b
133b, adea
133c, a82e
133d, bea7
133e, 7651
133f, b311
1340, 32bd
1341, a14e
1342, 622e
1343, 632b
1344, bc78
1345, ee69
1346, 71fb
1347, b77e
1348, a748
1349, 8320
134a, f11b
134b, 9795
134c, 036e
134d, 126b
134e, 28c5
134f, 8526
1350, f4b1
1351, fbb0
1352, 94ea
1353, 8bf4
1354, 25eb
1355, 8514
1356, 7b0b
1357, 61e1
1358, 8401
1359, 6b14
135a, fbbb
135b, 64e3
135c, 6b1a
135d, 7464
135e, 1ab1
135f, 2ce1
1360, f21d
1361, 4443
1362, 4b89
1363, f376
1364, 2a84
1365, bdf9
1366, b1c4
1367, bc7f
1368, f772
1369, b319
136a, f114
136b, f99f
136c, f699
136d, b2a6
136e, b49f
136f, 208d
1370, f41d
1371, a9a8
1372, a47e
1373, a978
1374, 4919
1375, 2fc0
1376, c9c5
1377, b41d
1378, a4ab
1379, b979
137a, 4fc0
137b, 747e
137c, 99c5
137d, 74ab
137e, 2ac6
137f, ba76
1380, 321d
1381, 53c6
1382, 5270
1383, 7dd2
1384, 3319
1385, 7624
1386, 83a0
1387, 9d6f
1388, c06f
1389, 9bb4
138a, 52a9
138b, a0d4
138c, adb3
138d, 82c6
138e, 902f
138f, 837d
1390, f4bd
1391, 4db3
1392, 4f29
1393, 4a2d
1394, 2624
1395, b4d9
1396, 2dd2
1397, b02f
1398, 40b4
1399, 2929
139a, fbb4
139b, f06f
139c, fa69
139d, bf6d
139e, bd6f
139f, 292d
13a0, 341d
13a1, 0bef
13a2, 047e
13a3, 8b0b
13a4, e0b2
13a5, 1028
13a6, 1b04
13a7, 918d
13a8, 24fd
13a9, 6bbb
13aa, 3bb4
13ab, 4449
13ac, 3b5e
13ad, 14ab
13ae, cc46
13af, ea76
13b0, 3211
13b1, 31ba
13b2, 628a
13b3, 0374
13b4, 8ae4
13b5, ed9a
13b6, 1104
13b7, e7bf
13b8, 07e2
13b9, e37a
13ba, 31b4
13bb, 576c
13bc, 039a
13bd, 12a4
13be, ef0f
13bf, 8081
13c0, f411
13c1, 47f1
13c2, 414a
13c3, f977
13c4, f78c
13c5, b19c
13c6, b9aa
13c7, b411
13c8, f4c1
13c9, ba7c
13ca, ffac
13cb, 214a
13cc, f79c
13cd, b4c1
13ce, bcf1
13cf, 2c81
13d0, 32b1
13d1, 0364
13d2, 02bf
13d3, 21fb
13d4, 53ba
13d5, cc78
13d6, 13df
13d7, a8c5
13d8, b795
13d9, 911b
13da, 3edc
13db, 47f8
13dc, 414e
13dd, 1264
13de, a71e
13df, e5b7
13e0, f2bd
13e1, 9306
13e2, 92e0
13e3, 8104
13e4, f6e9
13e5, 8ab4
13e6, 736e
13e7, 68d3
13e8, 8733
13e9, 61b4
13ea, fe69
13eb, 67d1
13ec, 61ba
13ed, 726b
13ee, 3923
13ef, 20ed
13f0, 3411
13f1, 5fe5
13f2, 514a
